322,-0.12,0.03,-0.01,4.48,0.71,8.88
,,,,,,
323,-0.12,0.05,0,4.43,0.61,9.4
,,,,,,
324,-0.13,0.04,0.01,4.14,0.81,8.88
,,,,,,
325,-0.13,0.06,0,4.4,1.47,8.82
,,,,,,
326,-0.14,0.04,-0.02,4.19,0.94,8.91
,,,,,,
327,-0.13,0.04,-0.02,4.17,0.79,9.17
,,,,,,
328,-0.11,0.03,-0.02,4.17,0.45,8.73
,,,,,,
329,-0.11,0.03,-0.02,4.33,0.85,8.77
,,,,,,
330,-0.11,0.03,-0.01,4.3,0.75,8.69
,,,,,,
331,-0.12,0.05,-0.01,4.31,0.69,8.53
,,,,,,
332,-0.12,0.04,0,4.41,0.75,8.66
,,,,,,
333,-0.13,0.05,0,4.13,0.46,8.39
,,,,,,
334,-0.13,0.04,0,4.02,0.26,8.37
,,,,,,
335,-0.14,0.06,-0.01,3.96,0.69,8.22
,,,,,,
336,-0.13,0.03,-0.01,3.48,0.09,8.7
,,,,,,
337,-0.12,0.1,-0.02,4.6,0.67,8.85
,,,,,,
338,-0.11,0.05,-0.02,3.58,0.26,8.87
,,,,,,
339,-0.12,0.07,-0.02,4.26,0.67,8.78
,,,,,,
340,-0.12,0.08,-0.01,4.38,0.57,8.6
,,,,,,
341,-0.13,0.05,-0.01,3.96,0.83,9.2
,,,,,,
342,-0.13,0.04,0,4.04,0.55,8.45
,,,,,,
343,-0.14,0.07,-0.01,4.3,0.93,8.88
,,,,,,
344,-0.15,0.04,-0.01,4.38,0.68,8.61
,,,,,,
345,-0.13,0.08,-0.02,4.15,0.62,8.97
,,,,,,
346,-0.13,0.06,-0.01,3.99,0.28,8.54
,,,,,,
347,-0.12,0.06,-0.01,3.87,0.77,8.26
,,,,,,
348,-0.13,0.07,-0.01,4.45,0.91,8.82
,,,,,,
349,-0.13,0.05,0,3.92,0.66,8.84
,,,,,,
350,-0.12,0.05,0.01,4.21,0.48,8.48
,,,,,,
351,-0.13,-0.01,0.01,3.99,0.44,9.03
,,,,,,
352,-0.14,0.04,0.01,4.73,0.96,9.04
,,,,,,
353,-0.13,0.03,0.01,3.86,0.54,8.97
,,,,,,
354,-0.12,0,0,3.99,0.17,9.22
,,,,,,
355,-0.13,0,-0.03,4.31,0.37,9.21
,,,,,,
356,-0.11,0.04,-0.02,4.32,0.61,8.89
,,,,,,
357,-0.12,-0.03,-0.01,4.19,0.35,9.01
,,,,,,
358,-0.12,0.03,-0.01,4.24,0.66,8.72
,,,,,,
359,-0.12,0.04,-0.01,3.99,0.96,9.08
,,,,,,
360,-0.11,0.04,0,4.09,0.51,9.09
,,,,,,
361,-0.13,0.02,0.01,4.49,0.95,8.67
,,,,,,
362,-0.13,0.04,0.01,3.99,0.68,8.54
,,,,,,
363,-0.13,0.03,0.01,4.37,1.08,9.67
,,,,,,
364,-0.11,-0.04,-0.01,4.1,0.63,8.89
,,,,,,
365,-0.12,0.03,-0.01,4.74,1.32,8.11
,,,,,,
366,-0.13,0.04,-0.01,3.64,0.26,8.98
,,,,,,
367,-0.1,0.01,-0.01,3.97,0.57,8.53
,,,,,,
368,-0.11,0.03,0,3.68,0.24,8.09
,,,,,,
369,-0.12,0.05,0,4.11,0.45,8.87
,,,,,,
370,-0.12,0.03,0,4.13,0.52,8.77
,,,,,,
371,-0.14,0.03,0,4.55,0.42,8.78
,,,,,,
372,-0.12,0.04,-0.01,4.27,0.8,9.04
,,,,,,
373,-0.12,0,-0.01,4.65,0.56,9.06
,,,,,,
374,-0.13,0.03,-0.02,4.13,1,9.08
,,,,,,
375,-0.12,0.05,-0.01,4.17,0.68,8.04
,,,,,,
376,-0.13,0.05,-0.01,4.13,0.68,8.96
,,,,,,
377,-0.13,0,-0.01,3.88,1.05,9.3
,,,,,,
378,-0.13,0.02,0,4.44,0.04,8.51
,,,,,,
379,-0.15,0.04,-0.01,4.18,0.6,8.35
,,,,,,
380,-0.14,0.04,0,3.86,0.51,9.28
,,,,,,
381,-0.14,0.02,0,4.91,0.46,8.09
,,,,,,
382,-0.15,0.01,-0.02,4.09,0.79,9.12
,,,,,,
383,-0.15,-0.02,-0.01,4.41,0.63,8.44
,,,,,,
384,-0.16,0.02,-0.01,4.24,0.68,8.52
,,,,,,
385,-0.15,0.01,-0.01,3.74,0.53,9.11
,,,,,,
